,opta_id,injury_start_date,sport,team,gsis_id,depth_chart_order,sportradar_id,active,oddsjam_id,fantasy_data_id,last_name,yahoo_id,injury_body_part,pandascore_id,team_abbr,first_name,years_exp,birth_date,search_last_name,metadata,college,status,swish_id,search_full_name,news_updated,practice_participation,birth_city,injury_notes,espn_id,rotowire_id,competitions,stats_id,team_changed_at,practice_description,depth_chart_position,injury_status,number,search_rank,player_id,birth_state,position,age,weight,full_name,search_first_name,fantasy_positions,birth_country,hashtag,rotoworld_id,high_school,height
1778,,,nfl,,,,c23373c5-5ec3-4c8e-9599-2ecb86e3b904,False,,15867.0,Jenkins,27405.0,,,,Greg,2.0,1989-08-23,jenkins,,Alabama State,Inactive,,gregjenkins,,,,,16520.0,,[],,,,,,10.0,9999999.0,1778,,CB,27.0,208,Greg Jenkins,greg,['DB'],,#gregjenkins-NFL-FA-10,,,"6'1"""
2308,,,nfl,WAS,00-0032052,2.0,6bc85af5-fc58-4656-82da-d02780a0f6f6,True,B69E804183DE,16764.0,Fowler,28391.0,,,,Dante,10.0,1994-08-03,fowler,"{'channel_id': '1113708697328054272', 'rookie_year': '2015'}",Florida,Active,694612.0,dantefowler,1738442711603.0,,,,2980100.0,10349.0,[],694612.0,,,RDE,,6.0,9999999.0,2308,,LB,30.0,261,Dante Fowler,dante,"['DL', 'LB']",,#dantefowler-NFL-WAS-6,10389.0,Lakewood (FL),75
4317,,,nfl,,00-0033254,,50d58b23-cdf9-4e0c-a303-d74d9e4f9291,False,,19170.0,Banks,30504.0,,,,Brandon,5.0,1994-07-13,banks,,North Carolina-Charlotte,Inactive,,brandonbanks,1535042108273.0,,,,3050096.0,12456.0,[],,,,,,54.0,9999999.0,4317,,DE,27.0,267,Brandon Banks,brandon,['DL'],,#brandonbanks-NFL-FA-54,12637.0,Southwest Guilford (NC),75
8075,,,nfl,,,,4f845d14-46aa-4748-bd7f-5fadec6a3199,True,,,Lloyd,,,,,Damon,2.0,1998-05-08,lloyd,{'channel_id': '1116853462596845568'},Indiana (PA),Active,1290291.0,damonlloyd,1685571608326.0,,,,,15784.0,[],,,,,,53.0,9999999.0,8075,,LB,25.0,235,Damon Lloyd,damon,['LB'],,#damonlloyd-NFL-FA-53,,John Carroll (MD),72
10986,,,nfl,ARI,,3.0,406b6c6f-0172-482e-9ade-f38f5abb95f0,True,F5F017EF9183,,Robinson,,,,,Jammie,2.0,2001-01-24,robinson,"{'channel_id': '1113708882716291072', 'rookie_year': '2023'}",Florida State,Active,1180344.0,jammierobinson,1734118844308.0,,,,,16815.0,[],,,,SS,,26.0,9999999.0,10986,,DB,24.0,190,Jammie Robinson,jammie,['DB'],,#jammierobinson-NFL-ARI-26,,Lee County (GA),71
7077,,,nfl,LV,,,04d09b84-6c99-4d99-a1f0-c30d3360ab52,True,0912E314294D,21364.0,Bobenmoyer,32666.0,,,,Jacob,5.0,1997-05-28,bobenmoyer,"{'channel_id': '1113708767528120320', 'rookie_year': '2020'}",Northern Colorado,Active,891027.0,jacobbobenmoyer,1679097015215.0,,,,3925443.0,13699.0,[],,,,LS,,50.0,9999999.0,7077,,LS,27.0,235,Jacob Bobenmoyer,jacob,['LS'],,#jacobbobenmoyer-NFL-LV-50,,Cheyenne East (WY),74
2977,,,nfl,,,,f2d5cb5d-f14e-462a-92f8-bb14215c9c32,False,,17475.0,Rahrig,28668.0,,,,Collin,1.0,1991-10-31,rahrig,,Indiana,Inactive,,collinrahrig,,,,,,10742.0,[],,,,,,64.0,9999999.0,2977,,G,26.0,291,Collin Rahrig,collin,['OL'],,#collinrahrig-NFL-FA-64,,,"6'2"""
2045,,,nfl,,,,b299a49e-5eea-4a46-9219-9402e80873c5,False,,16337.0,Darby,27846.0,,,,Alden,1.0,1992-06-22,darby,,Arizona State,Inactive,,aldendarby,,,,,16985.0,9311.0,[],,,,,,36.0,9999999.0,2045,,SS,26.0,192,Alden Darby,alden,['DB'],,#aldendarby-NFL-FA-36,,,"5'11"""
12003,,,nfl,,,,a8779730-0707-11ef-acd9-d187d1ff5e39,True,,,Watson,,,,,Gunnar,1.0,2000-01-11,watson,"{'channel_id': '1113708757881221120', 'rookie_year': '2024'}",Troy,Active,,gunnarwatson,,,,,,,[],,,,,,,9999999.0,12003,,QB,25.0,210,Gunnar Watson,gunnar,['QB'],,#gunnarwatson-NFL-FA,,Taylor County (GA),75
12383,,,nfl,NE,,6.0,c5f3e900-0ee9-11ef-8f00-c3a75391e420,True,6EE13012C395,,Jiles,,,,,John,1.0,2000-07-08,jiles,"{'channel_id': '1113708680009773056', 'rookie_year': '2024'}",West Florida,Active,1478205.0,johnjiles,1736201107606.0,,,,,18215.0,[],,,,SWR,,83.0,9999999.0,12383,,WR,24.0,220,John Jiles,john,['WR'],,#johnjiles-NFL-NE-83,,Wake Forest (NC),75
3961,,,nfl,,,,,False,,18794.0,Trestman,,,,,Marc,0.0,,trestman,,,Inactive,,marctrestman,,,,,,,[],,,,,,0.0,9999999.0,3961,,,,,Marc Trestman,marc,,,#marctrestman-NFL-FA-0,8340.0,,
12352,,,nfl,,,,b5bdbb00-0c97-11ef-8c99-ef9e96680435,True,,,Moussa,,,,,Jeremy,1.0,,moussa,"{'channel_id': '1113708732350492672', 'rookie_year': '', 'years_exp_shift': '1'}",Florida A&M,Active,,jeremymoussa,,,,,,,[],,,,,,,9999999.0,12352,,QB,,225,Jeremy Moussa,jeremy,['QB'],,#jeremymoussa-NFL-FA,,Eleanor Roosevelt (CA),75
5083,,,nfl,,00-0034408,,d4590268-6931-43a1-b794-d9a684c508db,False,,19991.0,Moore,31159.0,,,,Kamrin,4.0,1996-10-01,moore,,Boston College,Inactive,,kamrinmoore,1572442532402.0,,,,3122800.0,12959.0,[],836078.0,,,,,29.0,9999999.0,5083,,FS,25.0,200,Kamrin Moore,kamrin,['DB'],,#kamrinmoore-NFL-FA-29,,Bishop Denis J. O'Connell,71
3940,,,nfl,,,,,False,,18773.0,Price,30070.0,,,,Chase,0.0,1993-06-24,price,,San Diego State,Inactive,,chaseprice,,,,,,11662.0,[],609629.0,,,,,35.0,9999999.0,3940,,RB,25.0,200,Chase Price,chase,['RB'],,#chaseprice-NFL-FA-35,,,"5'8"""
4752,,,nfl,,00-0033994,,1eaede88-f9fd-497d-93bf-2849948c993c,True,,19671.0,Brown,30901.0,,,,Fred,5.0,1993-12-01,brown,"{'channel_id': '1116853017996427264', 'injury_override_regular_2020_5': 'COV'}",Mississippi State,Active,686800.0,fredbrown,1630457453654.0,,,,2971397.0,12291.0,[],686800.0,,,,,0.0,466.0,4752,,WR,28.0,196,Fred Brown,fred,['WR'],,#fredbrown-NFL-FA-0,,Jim Hill (MS),73
3526,,,nfl,SEA,00-0032667,2.0,36248cd5-f747-4960-b66a-a5d4f481e098,True,BC2CE451F6E9,18292.0,Robertson-Harris,29920.0,,,,Roy,9.0,1993-07-23,robertsonharris,"{'channel_id': '1113708889305542656', 'rookie_year': '2016'}",UTEP,Active,609989.0,royrobertsonharris,1728945014147.0,,,,2574891.0,11356.0,[],,,,RDE,,98.0,9999999.0,3526,,DE,31.0,268,Roy Robertson-Harris,roy,['DL'],,#royrobertsonharris-NFL-SEA-98,,South Grand Prairie (TX),79
11290,,,nfl,CHI,,,20067190-eb8e-11ed-baaf-c79583f716f6,True,DE4AD26B8112,,Cook,,,,,Alex,2.0,1999-05-21,cook,"{'channel_id': '1113708881327976448', 'rookie_year': '2023'}",Washington,Active,1049251.0,alexcook,1699378539273.0,,,,,17515.0,[],,,,DB,,38.0,9999999.0,11290,,DB,25.0,196,Alex Cook,alex,['DB'],,#alexcook-NFL-CHI-38,,Sheldon (CA),73
3436,,,nfl,,00-0032994,,f6bb7c37-844c-4f68-bd90-f6bd1a8bb2fd,False,,18200.0,Cash,29501.0,,,,Jeremy,6.0,1992-12-09,cash,,Duke,Inactive,,jeremycash,1534308944118.0,,,,2576378.0,10971.0,[],593512.0,,,,,52.0,9999999.0,3436,,OLB,29.0,230,Jeremy Cash,jeremy,['LB'],,#jeremycash-NFL-FA-52,,Plantation (FL),72
12062,,,nfl,CIN,,4.0,8e6c6eb0-0725-11ef-b490-715b3492492e,True,F6A1135D434F,,Grandy,,,,,Cam,1.0,1999-11-19,grandy,"{'channel_id': '1113708806707113984', 'rookie_year': '2024'}",Illinois State,Active,1251513.0,camgrandy,1737479712711.0,,,,,18284.0,[],,,,TE,,85.0,9999999.0,12062,,TE,25.0,253,Cam Grandy,cam,['TE'],,#camgrandy-NFL-CIN-85,,Fieldcrest (IL),77
11247,,,nfl,,,,2f5dd660-eac1-11ed-b650-3bd4f446002a,True,,,Hippenhammer,,,,,Mac,1.0,1998-11-05,hippenhammer,{'channel_id': '1116852668556378112'},Miami (OH),Active,1067099.0,machippenhammer,1693405507955.0,,,,,17582.0,[],,,,,,14.0,405.0,11247,,WR,24.0,177,Mac Hippenhammer,mac,['WR'],,#machippenhammer-NFL-FA-14,,Nelson R. Snider (IN),71
4338,,,nfl,,,,62eacf46-e0cc-4890-91ef-e990757d0858,True,,19194.0,Jacobs,30505.0,,,,Levern,5.0,1993-01-09,jacobs,{'channel_id': '1116852953672581120'},Maryland,Inactive,,levernjacobs,,,,,2976222.0,12411.0,[],651139.0,,,,,88.0,9999999.0,4338,,WR,29.0,185,Levern Jacobs,levern,['WR'],,#levernjacobs-NFL-FA-88,,Suitland (MD),71
4290,,,nfl,,,,,False,,19136.0,Beane,,,,,Brandon,0.0,,beane,,,Inactive,,brandonbeane,,,,,,,[],,,,,,0.0,9999999.0,4290,,,,,Brandon Beane,brandon,,,#brandonbeane-NFL-FA-0,12559.0,,
12462,,,nfl,,,,,True,,,Martinez,,,,,Damien,0.0,,martinez,{'source_id': '27d530a0-89e2-11ec-87d7-1329dbaf6972'},Miami (FL),Active,,damienmartinez,,,,,,,[],,,,,,,,12462,,RB,,232,Damien Martinez,damien,['RB'],,#damienmartinez-NFL-FA,,,72
6589,,,nfl,, 00-0035545,,e9596e01-6469-4245-b5f9-d68a6718e4a4,True,,21555.0,Barron,32562.0,,,,Kirk,3.0,1995-06-03,barron,{'channel_id': '1116853276227141632'},Purdue,Active,,kirkbarron,,,,,3116186.0,14247.0,[],,,,,,76.0,9999999.0,6589,,C,26.0,300,Kirk Barron,kirk,['OL'],,#kirkbarron-NFL-FA-76,,Marian,74
1714,,,nfl,,,,ce291670-4027-45da-9a91-da4b7a166d62,False,,15628.0,Anunoby,26205.0,,,,Chigbo,2.0,1989-01-04,anunoby,,Morehouse - GA,Inactive,,chigboanunoby,,,,,15399.0,10043.0,[],,,,,,64.0,9999999.0,1714,,NT,29.0,324,Chigbo Anunoby,chigbo,['DL'],,#chigboanunoby-NFL-FA-64,,,"6'4"""
351,,,nfl,,00-0026500,,5fbfe48a-11ee-4141-8f8d-6bef67d3ea69,False,,8419.0,Slauson,9457.0,,,,Matt,13.0,1986-02-18,slauson,,Nebraska,Injured Reserve,,mattslauson,1539882716318.0,,,,12728.0,7119.0,[],,,,,,0.0,9999999.0,351,,G,35.0,315,Matt Slauson,matt,['OL'],,#mattslauson-NFL-FA-0,5407.0,Sweet Home (OR),77
11785,,,nfl,CIN,,3.0,606de6c7-99a3-4d0e-b6c3-a5c570d402bc,True,84AD0706BA6E,,Johnson,,,,,Cedric,1.0,2002-09-06,johnson,"{'channel_id': '1113708805343965184', 'rookie_year': '2024'}",Ole Miss,Active,1229058.0,cedricjohnson,1714256136532.0,,,,,17847.0,[],,,,LDE,,52.0,9999999.0,11785,,DE,22.0,264,Cedric Johnson,cedric,['DL'],,#cedricjohnson-NFL-CIN-52,,Davidson (AL),75
6487,,,nfl,, 00-0035119,,0c49b066-56ef-42dd-b9f1-1e956cced841,True,,21275.0,Scarff,32314.0,,,,Charles,3.0,1996-05-03,scarff,{'channel_id': '1116853258183245824'},Delaware,Inactive,,charlesscarff,1598920530072.0,,,,3127376.0,14120.0,[],838249.0,,,,,85.0,9999999.0,6487,,TE,25.0,249,Charles Scarff,charles,['TE'],,#charlesscarff-NFL-FA-85,,Lancaster Catholic (PA),77
12327,,,nfl,,,,827af730-0c92-11ef-a556-ad47e0bd8991,True,,,Major,,,,,Isaiah,1.0,2001-05-03,major,"{'channel_id': '1113708685097463808', 'rookie_year': '2024'}",Florida A&M,Active,,isaiahmajor,,,,,,,[],,,,,,,9999999.0,12327,,LB,23.0,230,Isaiah Major,isaiah,['LB'],,#isaiahmajor-NFL-FA,,,73
5459,,,nfl,,,,44e91d62-1877-4143-b4f3-3ede3c435490,True,,20246.0,McKenrick,31246.0,,,,Mason,4.0,,mckenrick,{'channel_id': '1116853105967759360'},John Carroll,Active,,masonmckenrick,,,,,4334407.0,13127.0,[],,,,,,0.0,9999999.0,5459,,LB,,220,Mason McKenrick,mason,['LB'],,#masonmckenrick-NFL-FA-0,,Mentor,76
8453,,,nfl,PHI,,,a4d061b3-d212-4534-88de-c996f64e5754,True,82011D84AC85,,Jurgens,,,,,Cam,3.0,1999-08-21,jurgens,"{'channel_id': '1113708717729148929', 'rookie_year': '2022'}",Nebraska,Active,1107579.0,camjurgens,1738963515746.0,,,,,16078.0,[],,,,OL,,51.0,9999999.0,8453,,OL,25.0,303,Cam Jurgens,cam,['OL'],,#camjurgens-NFL-PHI-51,,Beatrice (NE),75
3037,,,nfl,,,2.0,,True,,17742.0,Matias,29054.0,,,,Josue,4.0,1993-01-06,matias,{'channel_id': '1116852830360043520'},Florida State,Inactive,,josuematias,,,,,2576799.0,10289.0,[],,,,LG,,66.0,9999999.0,3037,,G,26.0,309,Josue Matias,josue,['OL'],,#josuematias-NFL-FA-66,,,"6'5"""
5694,,,nfl,,00-0034637,,f4c38645-25d8-4046-918a-9285328d02ba,True,,20486.0,Davis,31631.0,,,,Antwuan,4.0,1995-05-14,davis,{'channel_id': '1116853146178551808'},Texas,Inactive,,antwuandavis,,,,,3046689.0,,[],,,,,NA,49.0,9999999.0,5694,,CB,26.0,200,Antwuan Davis,antwuan,['DB'],,#antwuandavis-NFL-FA-49,,Bastrop,73
7054,,,nfl,,,,2cf5f42b-7200-4c65-85d9-2b0e5b8696fa,True,75A62C3C3E63,22110.0,Kraemer,,,,,Tommy,3.0,1998-04-16,kraemer,"{'channel_id': '1116853327259238400', 'rookie_year': '2021'}",Notre Dame,Active,946102.0,tommykraemer,1690839650309.0,,,,,15641.0,[],,,,,,62.0,9999999.0,7054,,G,26.0,316,Tommy Kraemer,tommy,['OL'],,#tommykraemer-NFL-FA-62,,Elder (OH),78
6397,,,nfl,,,,8d36f034-40f1-48e0-9f3a-789d8876327a,True,,21370.0,Johnson,32194.0,,,,Jaylen,3.0,,johnson,"{'channel_id': '1116853244539174912', 'injury_override_regular_2020_5': 'COV'}",Washington,Active,,jaylenjohnson,1557794415533.0,,,,3127298.0,14064.0,[],,,,,,0.0,9999999.0,6397,,DL,,286,Jaylen Johnson,jaylen,['DL'],,#jaylenjohnson-NFL-FA-0,,Centennial,75
2501,,,nfl,TEN,00-0031608,3.0,8092ffd3-3f39-43eb-a602-b14fff77d413,True,D2CC4549BEBF,16960.0,Diggs,28588.0,,,,Quandre,10.0,1993-01-22,diggs,"{'channel_id': '1116852810332241920', 'rookie_year': '2015'}",Texas,Active,590672.0,quandrediggs,1730928032620.0,,,,2577553.0,10433.0,[],,,,FS,,28.0,9999999.0,2501,,DB,32.0,197,Quandre Diggs,quandre,['DB'],,#quandrediggs-NFL-TEN-28,10574.0,Angleton (TX),69
2723,,,nfl,,,,77246163-5f43-42ce-a451-044aeea11ac4,False,,17191.0,Harris,28757.0,,,,RJ,1.0,1992-06-03,harris,,New Hampshire,Inactive,,rjharris,,,,,2507284.0,10546.0,[],552237.0,,,,,14.0,9999999.0,2723,,WR,26.0,200,RJ Harris,rj,['WR'],,#rjharris-NFL-FA-14,,,"6'0"""
5295,,,nfl,, 00-0034103,,191847bd-6b12-4824-a832-29cddfffb046,True,,20388.0,Pierson-El,31404.0,,,,De'Mornay,4.0,1995-12-26,piersonel,{'channel_id': '1116853083473707008'},Nebraska,Active,821270.0,demornaypiersonel,1640187028484.0,,,,3121398.0,13100.0,[],821270.0,,,,,0.0,9999999.0,5295,,WR,26.0,195,De'Mornay Pierson-El,demornay,['WR'],,#demornaypiersonel-NFL-FA-0,,West Potomac (VA),69
11535,,,nfl,DAL,,1.0,804bd6a0-2c00-11ee-b1fc-571fc9ac66e0,True,A8F3E4440637,,Butler,,,,,Josh,2.0,1996-11-25,butler,"{'channel_id': '1113708854429904896', 'rookie_year': '2023'}",Michigan State,Active,884241.0,joshbutler,1733783461578.0,,,,,17650.0,[],,,,NB,,31.0,9999999.0,11535,,CB,28.0,182,Josh Butler,josh,['DB'],,#joshbutler-NFL-DAL-31,,West Mesquite (TX),72
131,,,nfl,,00-0026166,,f26bd260-a1eb-42ab-8768-bc8ad24e4f9e,True,406DB4D30551,3617.0,Brown,8803.0,,,,Duane,16.0,1985-08-30,brown,"{'channel_id': '1116852730476888064', 'rookie_year': '2008'}",Virginia Tech,Active,224903.0,duanebrown,1703732729442.0,,,,11260.0,5773.0,[],,,,,,76.0,9999999.0,131,,T,38.0,329,Duane Brown,duane,"['OL', 'OT']",,#duanebrown-NFL-FA-76,4852.0,Hermitage (VA),76
1204,,,nfl,,00-0029690,,e4538897-a749-41a8-8220-332e8229ac41,True,,14414.0,Johnson,25775.0,,,,Trumaine,10.0,1990-01-01,johnson,{'channel_id': '1116852712084865024'},Montana,Active,,trumainejohnson,1600618806287.0,,,,14989.0,8167.0,[],459816.0,,,,,0.0,9999999.0,1204,,CB,32.0,213,Trumaine Johnson,trumaine,['DB'],,#trumainejohnson-NFL-FA-0,7530.0,Edison (CA),74
11041,,,nfl,WAS,,,0c816f95-6a50-4c77-b768-dc277f51a88f,True,B7AA28242D5C,,Jones,,,,,Andre,2.0,1998-10-25,jones,"{'channel_id': '1113708695306399744', 'rookie_year': '2023'}",Louisiana,Active,1050829.0,andrejones,1724791255105.0,,,,,17178.0,[],,,,DL,,50.0,9999999.0,11041,,DE,26.0,258,Andre Jones,andre,['DL'],,#andrejones-NFL-WAS-50,,Varnado (LA),77
4485,,,nfl,, 00-0033508,,7e199884-1db9-4684-b308-a20ca28c646c,True,,19353.0,Stanback,30696.0,,,,William,5.0,1994-07-06,stanback,{'channel_id': '1116852974543437824'},Virginia Union,Active,,williamstanback,1598218512756.0,,,,3054030.0,12344.0,[],746220.0,,,,,40.0,9999999.0,4485,,RB,27.0,205,William Stanback,william,['RB'],,#williamstanback-NFL-FA-40,,Uniondale (NY),73
8323,,,nfl,CHI,,,965096f8-96e9-4998-9681-133174582621,True,2D1F2CD55AE0,,Brisker,,,,,Jaquan,3.0,1999-04-20,brisker,"{'channel_id': '1113708764399169537', 'rookie_year': '2022'}",Penn State,Active,1174171.0,jaquanbrisker,1736272510823.0,,,,,15958.0,[],,,,DB,,9.0,207.0,8323,,DB,25.0,200,Jaquan Brisker,jaquan,['DB'],,#jaquanbrisker-NFL-CHI-9,,Gateway (PA),73
3732,,,nfl,,,,327f0b61-f467-4991-badb-71b404a00d04,True,,18543.0,Mullaney,29803.0,,,,Richard,6.0,1993-02-23,mullaney,{'channel_id': '1116852901491245056'},Alabama,Active,,richardmullaney,,,,,2577014.0,11471.0,[],607876.0,,,,,83.0,9999999.0,3732,,WR,28.0,208,Richard Mullaney,richard,['WR'],,#richardmullaney-NFL-FA-83,,Thousand Oaks,75
8026,,,nfl,,,,ede1aabd-6fca-4ef8-8a90-3bd5940548f9,True,,,Rice,,,,,Landon,1.0,1997-05-06,rice,"{'channel_id': '1116853453042221056', 'rookie_year': '2021'}",Jacksonville State,Inactive,,landonrice,,,,,,,[],,,,,,0.0,,8026,,TE,24.0,250,Landon Rice,landon,['TE'],,#landonrice-NFL-FA-0,,Calhoun (GA),77
6444,,,nfl,,,,db158baf-9dda-4093-a368-0212428476b9,True,,21468.0,Harvey,32237.0,,,,Nate,3.0,1995-09-15,harvey,{'channel_id': '1116853252046979072'},East Carolina,Active,,nateharvey,1586384734242.0,,,,4239395.0,13904.0,[],,,,,,49.0,9999999.0,6444,,ILB,26.0,225,Nate Harvey,nate,['LB'],,#nateharvey-NFL-FA-49,,Knightdale,73
6089,,,nfl,, 00-0035428,,7f48c754-002d-4d0c-ba40-8c402f95a7c4,True,,20797.0,Helm,32543.0,,,,Daniel,4.0,1995-04-20,helm,{'channel_id': '1116853201732108288'},Duke,Active,820720.0,danielhelm,1693093515325.0,,,,3115359.0,13685.0,[],820720.0,,,,,43.0,9999999.0,6089,,TE,28.0,255,Daniel Helm,daniel,['TE'],,#danielhelm-NFL-FA-43,,Glenwood (IL),76
7547,,,nfl,DET,,1.0,26ef0447-29b8-4dd1-9831-dcbf8132bb74,True,D8CD5325EF95,,St. Brown,,,,,Amon-Ra,4.0,1999-10-24,stbrown,"{'channel_id': '1113708810284855296', 'rookie_year': '2021'}",USC,Active,1127106.0,amonrastbrown,1737264647903.0,,,,,15332.0,[],,,,SWR,,14.0,6.0,7547,,WR,25.0,202,Amon-Ra St. Brown,amonra,['WR'],,#amonrastbrown-NFL-DET-14,,Mater Dei (CA),72
2266,,,nfl,, 00-0031305,,6fa770b7-6cf8-400f-a3ea-47696eef0074,True,,16677.0,Thomas,27628.0,,,,Brandon,8.0,1991-02-18,thomas,{'channel_id': '1116852790115696640'},Clemson,Active,,brandonthomas,1575996944196.0,,,,16739.0,9440.0,[],,,,,,70.0,9999999.0,2266,,G,30.0,317,Brandon Thomas,brandon,['OL'],,#brandonthomas-NFL-FA-70,,Dorman (SC),75
6368,,,nfl,,,,11384038-e4ee-408c-859b-acfb5f9f6c0e,True,,21249.0,Bowman,32087.0,,,,Shane,3.0,,bowman,{'channel_id': '1116853239556341760'},Washington,Inactive,,shanebowman,1566779711644.0,,,,3127288.0,14038.0,[],,,,,,70.0,9999999.0,6368,,DE,,303,Shane Bowman,shane,['DL'],,#shanebowman-NFL-FA-70,,Bellevue,76
2955,,,nfl,,,,,False,,17433.0,Conway,,,,,CJ,0.0,,conway,,Montclair State,Inactive,,cjconway,,,,,3928276.0,,[],,,,,,36.0,9999999.0,2955,,CB,,200,CJ Conway,cj,['DB'],,#cjconway-NFL-FA-36,,,"6'2"""
11900,,,nfl,,,,228811b0-0575-11ef-8434-0f5c1f2e1cb4,True,9B42A8BA6C8C,,Kibodi,,,,,Jacob,1.0,1998-10-04,kibodi,"{'channel_id': '1113708682526355456', 'rookie_year': '2024'}",Louisiana,Active,1060861.0,jacobkibodi,1736215507942.0,,,,,18101.0,[],,,,,,36.0,341.0,11900,,RB,26.0,225,Jacob Kibodi,jacob,['RB'],,#jacobkibodi-NFL-FA-36,,Christian Life Academy (LA),73
3643,,,nfl,SF,00-0032697,,0e41e388-6e5b-4a12-aa2f-45bf83ffadc5,True,,18434.0,Middleton,29798.0,,,,Doug,6.0,1993-09-25,middleton,{'channel_id': '1116852888467931136'},Appalachian State,Active,597547.0,dougmiddleton,1642023305659.0,,,,2567725.0,11459.0,[],597547.0,,,,,48.0,9999999.0,3643,,DB,28.0,210,Doug Middleton,doug,['DB'],,#dougmiddleton-NFL-SF-48,,Parkland (NC),72
4642,,,nfl,,00-0033715,,e6d4351b-d073-4ed5-9d5a-51ea2e9298eb,True,,19537.0,Jones,30735.0,,,,Jarron,5.0,1994-03-11,jones,"{'channel_id': '1116852999604404224', 'injury_override_regular_2020_5': 'Active'}",Notre Dame,Active,,jarronjones,1639553421459.0,,,,2980142.0,11922.0,[],,,,,,0.0,9999999.0,4642,,OL,27.0,320,Jarron Jones,jarron,"['DL', 'OL', 'OT']",,#jarronjones-NFL-FA-0,,Aquinas Institute (NY),78
12266,,,nfl,,,,7b981d30-0bd9-11ef-8b1c-2f2e7fda4c4d,True,,,Stutts,,,,,Kam,0.0,,stutts,"{'channel_id': '1113708869340655616', 'rookie_year': '2024'}",Auburn,Active,,kamstutts,,,,,,,[],,,,,,,9999999.0,12266,,OL,,343,Kam Stutts,kam,['OL'],,#kamstutts-NFL-FA,,Brooks (AL),77
8413,,,nfl,KC,,3.0,7078cdfc-032b-4f85-8b4b-720f926ba1cb,True,B10598F82D4A,,Oladokun,,,,,Chris,3.0,1997-09-03,oladokun,"{'channel_id': '1113708749714911233', 'rookie_year': '2022'}",South Dakota State,Active,947634.0,chrisoladokun,1739316616993.0,,,,,16291.0,[],,,,QB,,19.0,9999999.0,8413,,QB,27.0,213,Chris Oladokun,chris,['QB'],,#chrisoladokun-NFL-KC-19,,Sickles (FL),73
11474,,,nfl,ATL,,10.0,e34c6990-f35c-11ed-ac5f-715e78829103,True,853C0C896180,,Drummond,,,,,Dylan,2.0,2000-01-17,drummond,"{'channel_id': '1113708864181661697', 'rookie_year': '2023'}",Eastern Michigan,Active,1108534.0,dylandrummond,1736203507379.0,,,,,17626.0,[],,,,SWR,,81.0,488.0,11474,,WR,25.0,190,Dylan Drummond,dylan,['WR'],,#dylandrummond-NFL-ATL-81,,Cuyahoga Heights (OH),72
4268,,,nfl,,00-0033584,,9f5650c3-91a3-4552-a02e-fe4a7d13f262,True,,19114.0,Qualls,30327.0,,,,Elijah,5.0,1995-02-11,qualls,{'channel_id': '1116852943081963520'},Washington,Active,747904.0,elijahqualls,1565537768361.0,,,,3052175.0,11936.0,[],,,,,,0.0,9999999.0,4268,,DT,26.0,321,Elijah Qualls,elijah,['DL'],,#elijahqualls-NFL-FA-0,,Casa Grande (CA),73
3504,,,nfl,,,,fa62cdd9-8047-4556-b2b7-c1b8dadb118a,True,,18270.0,Scheu,29877.0,,,,Steven,6.0,1992-07-07,scheu,{'channel_id': '1116852870096879616'},Vanderbilt,Active,,stevenscheu,,,,,2577793.0,11195.0,[],607423.0,,,,,81.0,9999999.0,3504,,TE,29.0,245,Steven Scheu,steven,['TE'],,#stevenscheu-NFL-FA-81,,Reitz Memorial (IN),77
1111,,,nfl,,00-0029668,,e3181493-6a2a-4e95-aa6f-3fc1ddeb7512,False,,14008.0,Luck,25711.0,,,,Andrew,10.0,1989-09-12,luck,,Stanford,Injured Reserve,,andrewluck,1618344045094.0,,,,14874.0,7237.0,[],461175.0,,,,,0.0,9999999.0,1111,,QB,32.0,240,Andrew Luck,andrew,['QB'],,#andrewluck-NFL-FA-0,6439.0,Stratford (TX),76
8928,,,nfl,,,,bdfc7130-1351-11ed-9aaa-89106bfa2f85,True,A6BA2FF913C8,,Baldwin,,,,,Daylen,2.0,1999-11-24,baldwin,"{'channel_id': '1113708863271497728', 'rookie_year': '2022'}",Michigan,Active,1075002.0,daylenbaldwin,1724715646741.0,,,,,16169.0,[],,,,,,86.0,657.0,8928,,WR,24.0,219,Daylen Baldwin,daylen,['WR'],,#daylenbaldwin-NFL-FA-86,,Mott (MI),74
5067,,,nfl,TEN,00-0034825,1.0,acc85868-4848-4de3-8e6f-5427e93c8d80,True,607708BDD9BE,19896.0,Key,31057.0,,,,Arden,7.0,1996-05-03,key,"{'channel_id': '1113708834234331137', 'rookie_year': '2018'}",LSU,Active,865568.0,ardenkey,1735930822982.0,,,,3843843.0,12545.0,[],,,,ROLB,,49.0,9999999.0,5067,,DE,28.0,240,Arden Key,arden,"['DL', 'LB']",,#ardenkey-NFL-TEN-49,13117.0,Hapeville Charter (GA),77
8105,,,nfl,,,,d4993930-7259-11ec-80bb-7f28873a7ba2,True,,,Lenius,,,,,Brayden,1.0,1996-12-19,lenius,"{'channel_id': '1116853467617427456', 'rookie_year': '2021'}",New Mexico,Active,837814.0,braydenlenius,1659040231348.0,,,,,15840.0,[],,,,,,81.0,342.0,8105,,TE,25.0,220,Brayden Lenius,brayden,['TE'],,#braydenlenius-NFL-FA-81,,Chaminade College Preparatory (CA),77
